Restaurant,Review,Vader_Score,Vader_Pred,Roberta_Label,Roberta_Score,Roberta_Num,Roberta_Jitter
Imperfecto Restro Lounge,"Great ambience and music, food was delicious",0.8316,Positive,Positive,0.9851884841918945,1,0.9846226613192359
Imperfecto Restro Lounge,Nice place but a bit overpriced,0.2263,Positive,Neutral,0.38093751668930054,0,0.023749684065315163
Imperfecto Restro Lounge,Service was slow but food quality was good,0.5927,Positive,Positive,0.745037853717804,1,0.8719742951160946
Imperfecto Restro Lounge,"Loved the vibe, perfect for evening hangout",0.8225,Positive,Positive,0.986909806728363,1,1.094416941424575
Imperfecto Restro Lounge,"Average experience, expected more",0.0,Neutral,Negative,0.7711007595062256,-1,-0.893237819078869
Grill and Chill Majhitar,Amazing grilled chicken and quick service,0.5859,Positive,Positive,0.9812837243080139,1,1.1683225697514756
Grill and Chill Majhitar,Food was tasty but seating is limited,-0.3291,Negative,Positive,0.8797658681869507,1,0.868162928259089
Grill and Chill Majhitar,Best place for snacks in Majhitar,0.6369,Positive,Positive,0.7231739163398743,1,1.1177709454817866
Grill and Chill Majhitar,"Service was okay, food was good",0.5859,Positive,Positive,0.9609982967376709,1,0.9864735856999329
Grill and Chill Majhitar,Affordable and tasty food,0.0,Neutral,Positive,0.9210177063941956,1,1.1680966906000196
Punjabi Kitchen,"Authentic Punjabi taste, loved the butter chicken",0.5994,Positive,Positive,0.9528715014457703,1,0.9343491455344233
Punjabi Kitchen,Too crowded but food is worth it,0.3291,Positive,Positive,0.6544765830039978,1,1.0194783025676089
Punjabi Kitchen,Service is slow during rush hours,0.0,Neutral,Negative,0.8535502552986145,-1,-0.8290439531176604
Punjabi Kitchen,Great quantity and reasonable price,0.6249,Positive,Positive,0.9315773248672485,1,0.9416626542495319
Punjabi Kitchen,"Food was average, nothing special",-0.3089,Negative,Negative,0.8202252984046936,-1,-0.9678357811713765
Coffee Break,Best coffee spot with great ambience,0.8519,Positive,Positive,0.9816909432411194,1,1.14663248011504
Coffee Break,Nice place to relax with friends,0.8316,Positive,Positive,0.9610926508903503,1,1.1234784292483988
Coffee Break,Too noisy sometimes,-0.1779,Negative,Negative,0.6268438100814819,-1,-0.8963234675559626
Coffee Break,Loved the cold coffee and snacks,0.5994,Positive,Positive,0.9770494103431702,1,0.9266212526421977
Coffee Break,Good vibe but service could improve,0.7003,Positive,Positive,0.8409265279769897,1,1.0784132402069218
Flavour Of Spice,Delicious food and very clean place,0.7713,Positive,Positive,0.9755496382713318,1,0.8947053338011136
Flavour Of Spice,"Amazing taste, highly recommended",0.7089,Positive,Positive,0.9771803021430969,1,1.0480087185251623
Flavour Of Spice,Small place but great quality food,0.7684,Positive,Positive,0.9518854022026062,1,0.8011733796439575
Flavour Of Spice,Service was quick and friendly,0.4939,Positive,Positive,0.9450041651725769,1,0.9784429632878657
Flavour Of Spice,One of the best in Majhitar,0.6369,Positive,Positive,0.9461354613304138,1,0.9585682064874295
Rasoi Republic,Excellent homemade style food,0.5719,Positive,Positive,0.9717499613761902,1,0.979734222755118
Rasoi Republic,Very limited menu but tasty,-0.1522,Negative,Positive,0.7581384181976318,1,1.1857736505828882
Rasoi Republic,Loved the simplicity and taste,0.5994,Positive,Positive,0.9669723510742188,1,1.0594438860206126
Rasoi Republic,Good for quick meals,0.4404,Positive,Positive,0.8928467035293579,1,0.907118647600102
Rasoi Republic,"Decent food, nothing extraordinary",0.0,Neutral,Positive,0.8262554407119751,1,1.165922519558318
Relax Point Restaurant cum Bar,Great place to chill with friends,0.802,Positive,Positive,0.9729660749435425,1,0.873324970584601
Relax Point Restaurant cum Bar,Nice drinks and food options,0.4215,Positive,Positive,0.9497888088226318,1,1.0369456846466072
Relax Point Restaurant cum Bar,Music was too loud,0.0,Neutral,Negative,0.6351631283760071,-1,-0.9217525515860774
Relax Point Restaurant cum Bar,Service was slow,0.0,Neutral,Negative,0.8133611679077148,-1,-1.042682525695479
Relax Point Restaurant cum Bar,Good ambience overall,0.4404,Positive,Positive,0.9492089152336121,1,1.1666834869226148
BITE & BREW,Good snacks and beverages,0.4404,Positive,Positive,0.8901507258415222,1,1.130892988894933
BITE & BREW,Small place but cozy,0.0,Neutral,Positive,0.729425847530365,1,0.8230172408247763
BITE & BREW,Food was average,0.0,Neutral,Negative,0.7827935218811035,-1,-1.0963850036804081
BITE & BREW,Nice place for quick bites,0.4215,Positive,Positive,0.9476847648620605,1,1.129090128729077
BITE & BREW,Service could be better,0.4404,Positive,Neutral,0.48716387152671814,0,0.1416159610635222
